"Uso_solo","Municipio","Area_m2","Fid_1","Last_last","Cn_mancha1","Cn_mancha2","Altitude_mancha1","Altitude_mancha2","Dif_altitude","Comprimento","Dif_cn","Valoracao"
"Floresta Nativa","Alto Piquiri","354419,42","9728","10235","70","79","343,6957746","357,8832487","14,18747408","1282,382654","9","163743,936"
"Pastagem/Campo","Alto Piquiri","478460,31","10235","10235","70","79","343,6957746","357,8832487","14,18747408","1282,382654","9","163743,936"
"Agricultura Anual","Alto Piquiri","35272412,57","10595","10235","82","79","384,7726229","357,8832487","26,88937412","1772,611394","3","142993,2329"
"Pastagem/Campo","Alto Piquiri","478460,31","10235","10235","82","79","384,7726229","357,8832487","26,88937412","1772,611394","3","142993,2329"
"Várzea","Alto Piquiri","1457692,49","10497","10236","20","79","320,5253036","322,75","2,224696356","596,3111283","59","78270,06045"
"Pastagem/Campo","Alto Piquiri","12964,43","10236","10236","20","79","320,5253036","322,75","2,224696356","596,3111283","59","78270,06045"
"Floresta Nativa","Alto Piquiri","1952777,44","9740","10237","70","79","311,048522","335,5192308","24,47070874","1274,135951","9","280611,0879"
"Pastagem/Campo","Alto Piquiri","48242,89","10237","10237","70","79","311,048522","335,5192308","24,47070874","1274,135951","9","280611,0879"
"Agricultura Anual","Alto Piquiri","35272412,57","10595","10237","82","79","384,7726229","335,5192308","49,25339209","397,4232649","3","58723,33167"
"Pastagem/Campo","Alto Piquiri","48242,89","10237","10237","82","79","384,7726229","335,5192308","49,25339209","397,4232649","3","58723,33167"
"Agricultura Anual","Alto Piquiri","35272412,57","10595","10237","82","79","384,7726229","335,5192308","49,25339209","397,4232649","3","58723,33167"
"Pastagem/Campo","Alto Piquiri","48242,89","10237","10237","82","79","384,7726229","335,5192308","49,25339209","397,4232649","3","58723,33167"
"Agricultura Anual","Alto Piquiri","35272412,57","10595","10238","82","79","384,7726229","358,9571429","25,81548","1286,174478","3","99609,63451"
"Pastagem/Campo","Alto Piquiri","42931,68","10238","10238","82","79","384,7726229","358,9571429","25,81548","1286,174478","3","99609,63451"
"Floresta Nativa","Alto Piquiri","1952777,44","9740","10238","70","79","311,048522","358,9571429","47,90862083","1084,338603","9","467542,5029"
"Pastagem/Campo","Alto Piquiri","42931,68","10238","10238","70","79","311,048522","358,9571429","47,90862083","1084,338603","9","467542,5029"
"Agricultura Anual","Alto Piquiri","35272412,57","10595","10239","82","79","384,7726229","353,4444444","31,32817841","492,0494284","3","46245,03684"
"Pastagem/Campo","Alto Piquiri","12816,96","10239","10239","82","79","384,7726229","353,4444444","31,32817841","492,0494284","3","46245,03684"
"Floresta Nativa","Alto Piquiri","1952777,44","9740","10239","70","79","311,048522","353,4444444","42,39592241","535,3447921","9","204267,9264"
"Pastagem/Campo","Alto Piquiri","12816,96","10239","10239","70","79","311,048522","353,4444444","42,39592241","535,3447921","9","204267,9264"
"Várzea","Alto Piquiri","1457692,49","10497","10240","20","79","320,5253036","318,75","1,775303644","504,1836297","-59","-52809,66307"
"Pastagem/Campo","Alto Piquiri","12879,52","10240","10240","20","79","320,5253036","318,75","1,775303644","504,1836297","-59","-52809,66307"
"Agricultura Anual","Alto Piquiri","35272412,57","10595","10240","82","79","384,7726229","318,75","66,02262285","381,8264819","3","75627,55743"
"Pastagem/Campo","Alto Piquiri","12879,52","10240","10240","82","79","384,7726229","318,75","66,02262285","381,8264819","3","75627,55743"
"Várzea","Alto Piquiri","1457692,49","10497","10241","20","79","320,5253036","323,6666667","3,141363023","190,3348011","59","35276,73167"
"Pastagem/Campo","Alto Piquiri","36242,05","10241","10241","20","79","320,5253036","323,6666667","3,141363023","190,3348011","59","35276,73167"
"Agricultura Anual","Alto Piquiri","117000000","9505","10242","82","52","352,2107826","344,8095238","7,401258765","870,4669144","30","193276,5264"
"Pastagem/Campo","Alto Piquiri","23291,25","10242","10242","82","52","352,2107826","344,8095238","7,401258765","870,4669144","30","193276,5264"
"Várzea","Alto Piquiri","1457692,49","10497","10242","20","52","320,5253036","344,8095238","24,28422017","724,3992206","32","562927,0451"
"Pastagem/Campo","Alto Piquiri","23291,25","10242","10242","20","52","320,5253036","344,8095238","24,28422017","724,3992206","32","562927,0451"
"Floresta Nativa","Alto Piquiri","76859,93","9734","10243","70","79","356,3297872","368,3193277","11,9895405","1109,998373","9","119775,334"
"Pastagem/Campo","Alto Piquiri","210565,72","10243","10243","70","79","356,3297872","368,3193277","11,9895405","1109,998373","9","119775,334"
"Agricultura Anual","Alto Piquiri","117000000","9505","10243","82","79","352,2107826","368,3193277","16,10854516","241,3318522","-3","-11662,51512"
"Pastagem/Campo","Alto Piquiri","210565,72","10243","10243","82","79","352,2107826","368,3193277","16,10854516","241,3318522","-3","-11662,51512"
"Agricultura Anual","Alto Piquiri","35272412,57","10595","10243","82","79","384,7726229","368,3193277","16,45329512","1870,426209","3","92324,02326"
"Pastagem/Campo","Alto Piquiri","210565,72","10243","10243","82","79","384,7726229","368,3193277","16,45329512","1870,426209","3","92324,02326"
"Área Urbanizada","Alto Piquiri","502008,42","10584","10243","86","79","410,1742857","368,3193277","41,85495798","229,9459628","7","67370,65029"
"Pastagem/Campo","Alto Piquiri","210565,72","10243","10243","86","79","410,1742857","368,3193277","41,85495798","229,9459628","7","67370,65029"
"Área Urbanizada","Alto Piquiri","502008,42","10584","10243","86","79","410,1742857","368,3193277","41,85495798","229,9459628","7","67370,65029"
"Pastagem/Campo","Alto Piquiri","210565,72","10243","10243","86","79","410,1742857","368,3193277","41,85495798","229,9459628","7","67370,65029"
"Várzea","Alto Piquiri","1457692,49","10497","10244","20","79","320,5253036","315,8333333","4,691970311","1179,142074","-59","-326417,4766"
"Pastagem/Campo","Alto Piquiri","50791,47","10244","10244","20","79","320,5253036","315,8333333","4,691970311","1179,142074","-59","-326417,4766"
"Agricultura Anual","Alto Piquiri","35272412,57","10595","10245","82","79","384,7726229","373,984375","10,78824786","2207,301861","3","71438,7587"
"Pastagem/Campo","Alto Piquiri","54746,25","10245","10245","82","79","384,7726229","373,984375","10,78824786","2207,301861","3","71438,7587"
"Floresta Nativa","Alto Piquiri","419102,18","9783","10246","70","79","353,9784689","358,0082136","4,029744652","1701,709015","9","61717,07523"
"Pastagem/Campo","Alto Piquiri","581545,46","10246","10246","70","79","353,9784689","358,0082136","4,029744652","1701,709015","9","61717,07523"
"Agricultura Anual","Alto Piquiri","35272412,57","10595","10246","82","79","384,7726229","358,0082136","26,7644093","2880,274739","3","231266,5561"
"Pastagem/Campo","Alto Piquiri","581545,46","10246","10246","82","79","384,7726229","358,0082136","26,7644093","2880,274739","3","231266,5561"
"Várzea","Alto Piquiri","1457692,49","10497","10247","20","79","320,5253036","319,9196429","0,605660787","2139,793594","-59","-76463,35524"
"Pastagem/Campo","Alto Piquiri","95874,69","10247","10247","20","79","320,5253036","319,9196429","0,605660787","2139,793594","-59","-76463,35524"
"Agricultura Anual","Alto Piquiri","117000000","9505","10247","82","79","352,2107826","319,9196429","32,29113972","1451,973844","3","140657,6708"
"Pastagem/Campo","Alto Piquiri","95874,69","10247","10247","82","79","352,2107826","319,9196429","32,29113972","1451,973844","3","140657,6708"
"Várzea","Alto Piquiri","1457692,49","10497","10248","20","79","320,5253036","316,6","3,925303644","534,9403625","-59","-123888,3979"
"Pastagem/Campo","Alto Piquiri","20875,15","10248","10248","20","79","320,5253036","316,6","3,925303644","534,9403625","-59","-123888,3979"
